context_lengths,batch_size,num_heads,head_size,block_size,data_type,query_length,trans_v,us_hip_bf16,us_triton_fp8,us_gluon_fp8,err_gluon_fp8,gluon_fp8_bandwith(TB/s),us_asm_fp8,asm_fp8_bandwith(TB/s),us_hip_fp8,perf_fp8_gluon_vs_hip,perf_fp8_gluon_vs_asm
4096,80,"(16, 1)",128,64,torch.bfloat16,3,False,167.12094949494943,,121.79682089887636,0,0.6337440863765841,,,144.8880400000001,119%,NaN
4096,80,"(16, 1)",128,64,torch.bfloat16,4,False,201.45104000000003,,156.36569008769013,0,0.49554373574249894,,,661.1898571428575,423%,NaN
4096,128,"(16, 1)",128,64,torch.bfloat16,1,False,134.58282105263163,351.2954399999998,90.02459353535349,0,1.361263015423421,,,87.90779797979793,98%,NaN
4096,128,"(16, 1)",128,64,torch.bfloat16,2,False,182.24976000000004,486.4446792929289,165.16902181818185,0,0.7448369280277697,,,170.92381632653058,103%,NaN
4096,128,"(16, 1)",128,64,torch.bfloat16,3,False,264.52731313131306,,190.02969718928412,0,0.6499027562602128,,,228.46802061855672,120%,NaN
4096,128,"(16, 1)",128,64,torch.bfloat16,4,False,310.58618,,246.4211583426652,0,0.5031128900076559,,,1059.53126,430%,NaN
4097,4,"(16, 1)",128,64,torch.bfloat16,1,False,15.71006,22.952073608247396,16.479696969696857,0,0.2324393316477302,,,15.04163999999995,91%,NaN
4097,4,"(16, 1)",128,64,torch.bfloat16,2,False,18.683717171717078,32.05606762886597,26.694839999999896,0,0.1440514687702689,,,17.694879999999976,66%,NaN
4097,4,"(16, 1)",128,64,torch.bfloat16,3,False,21.854820000000085,,30.652078231292556,0,0.1259403046883837,,,20.68650000000002,67%,NaN
4097,4,"(16, 1)",128,64,torch.bfloat16,4,False,24.812919999999984,,92.88870000000014,0,0.04171910289383961,,,57.721443298969106,62%,NaN
4097,80,"(16, 1)",128,64,torch.bfloat16,1,False,91.54870000000003,231.56204061855675,64.23994042553184,0,1.1925695210859935,,,61.224104166666585,95%,NaN
4097,80,"(16, 1)",128,64,torch.bfloat16,2,False,124.44808080808077,322.21921648152943,117.56424000000004,0,0.6541837740093941,,,116.63629166666658,99%,NaN
4097,80,"(16, 1)",128,64,torch.bfloat16,3,False,178.8946391752578,,134.61669199583002,0,0.5735294805640802,,,155.7136363636363,116%,NaN
4097,80,"(16, 1)",128,64,torch.bfloat16,4,False,212.83341414141412,,231.02263551020414,0,0.33548515489979674,,,704.944404040404,305%,NaN
4097,128,"(16, 1)",128,64,torch.bfloat16,1,False,143.00875268817217,374.94887714285704,95.84197979797977,0,1.2789484549355539,,,93.19305050505054,97%,NaN
4097,128,"(16, 1)",128,64,torch.bfloat16,2,False,194.67859999999985,527.4715506976746,181.7586984536082,0,0.6770173322417468,,,183.83290909090914,101%,NaN
4097,128,"(16, 1)",128,64,torch.bfloat16,3,False,286.57845999999995,,212.6290946704066,0,0.5809676539726614,,,247.75956000000005,117%,NaN
4097,128,"(16, 1)",128,64,torch.bfloat16,4,False,334.29400000000015,,391.52487670103085,0,0.3167294617396496,,,1138.9319200000004,291%,NaN
512,4,"(64, 4)",128,64,torch.bfloat16,1,False,15.324440000000006,19.560330438558374,13.268977777777827,0,0.14823698633982477,,,14.868419999999947,112%,NaN
512,4,"(64, 4)",128,64,torch.bfloat16,2,False,18.219052631579075,25.549551111111118,19.913679999999985,0,0.1017671230211233,,,17.470767676767693,88%,NaN
512,4,"(64, 4)",128,64,torch.bfloat16,3,False,23.003292929292847,,19.7998462626263,0,0.1053625639041683,,,21.956444444444458,111%,NaN
512,4,"(64, 4)",128,64,torch.bfloat16,4,False,26.290585858585867,,24.84809999999995,0,0.08635538378846136,,,55.88098000000005,225%,NaN
512,80,"(64, 4)",128,64,torch.bfloat16,1,False,68.64602061855675,114.5500340136054,36.788798418972306,0,1.0693218382329743,,,54.11377528089886,147%,NaN
512,80,"(64, 4)",128,64,torch.bfloat16,2,False,104.70354347826105,159.11913152139962,63.867459595959566,0,0.6346135998468575,,,100.83009638554216,158%,NaN
512,80,"(64, 4)",128,64,torch.bfloat16,3,False,149.53258585858583,,70.0108975510204,0,0.5959536701035384,,,139.46282000000002,199%,NaN
512,80,"(64, 4)",128,64,torch.bfloat16,4,False,188.02110416666665,,91.48378956521735,0,0.4691032634550799,,,421.8174949494948,461%,NaN
512,128,"(64, 4)",128,64,torch.bfloat16,1,False,104.97467346938772,183.55723878787867,52.53958742059785,0,1.1980015065389766,,,81.3764468085106,155%,NaN
512,128,"(64, 4)",128,64,torch.bfloat16,2,False,161.70047999999994,255.7280606060606,93.93704000000017,0,0.6903544492739485,,,156.68373737373744,167%,NaN
512,128,"(64, 4)",128,64,torch.bfloat16,3,False,234.74814285714277,,104.39784436198721,0,0.6394500054710398,,,217.8374489795919,209%,NaN
512,128,"(64, 4)",128,64,torch.bfloat16,4,False,293.062612244898,,135.25950359550563,0,0.5076504715453618,,,672.682101010101,497%,NaN
